微博id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
FE2KEAWkc,老是写 akka 的应用后，就老是把自己电脑弄得 CPU 满满。  原图 ,http://wx1.sinaimg.cn/large/6fc85a2fgy1fne0dfaytkj20yv02fjrg.jpg,无,2018-01-12 18:39,微博 weibo.com,7,11,4
FDKgJnbfh,被区块链刷屏了几天，就零零碎碎地写了点，现在去碎觉，如果那天碎觉也可以在区块链上交换，就好了。  ,无,无,2018-01-10 19:36,iPhone客户端,5,0,4
FDJdunVFT,所以区块链代表了某种设计模式，在开放的企业级服务里是一种很有前途的模式。而内部的系统，Akka 作为理想的平台已经有大量的 Event-Sourcing 的实践。Mantis 和 Waves 选择 akka 来实现节点也很自然，可惜都还没理解 akka 的内涵。  ,无,无,2018-01-10 16:55,iPhone客户端,6,10,0
FDIWnDezn,保证事件和重放逻辑不会丢失，比如同步并保存在很多很多的对等节点上，并以哪些节点的为准（共识）。此为 #区块链# 之三。  ,无,无,2018-01-10 16:13,微博 weibo.com,4,30,1
FDIVU6NCV,保证每个事件是不可篡改的（加密、签名），事件发生的顺序和逻辑是一致的。此为 #区块链# 之二。  ,无,无,2018-01-10 16:12,微博 weibo.com,6,2,0
FDITe1HLz,顺序地保留了从创世开始的所有的事件，就可以在任意一台机器上重放、验证任一时点的状态；也可以从某个时点的（状态）快照开始重放其后的所有事件。以上称为 Event-Sourcing（事件溯源）。此为 #区块链# 之一。  ,无,无,2018-01-10 16:06,微博 weibo.com,4,3,1
FDB6y2pFb,无睡胜有睡。  ,无,无,2018-01-09 20:16,iPhone客户端,4,1,3
FDsZWDU6Q,“上帝”为你关上了门，和窗，但你还可以翻墙。  ,无,无,2018-01-08 23:38,iPhone客户端,14,1,2
FDsX79Wgc,我像编好了程序一样，每天出现在书房编程序。  ,无,无,2018-01-08 23:31,iPhone客户端,10,10,3
FDsWcnbdP,睁着眼等天亮，这样就能睡着了。  ,无,无,2018-01-08 23:29,iPhone客户端,3,0,1
FD7ZEAAVl,深夜 - 桥  原图 ,http://wx4.sinaimg.cn/large/6fc85a2fgy1fn71tjndkkj21kw16ohdt.jpg,无,2018-01-06 18:10,微博 weibo.com,5,0,3
FD56H8KC1,中国对“洋垃圾”的进口禁令对加拿大也带来影响，不过对 BC 省的影响不大。在维多利亚，金属罐和玻璃都是在本地处理，而塑料和废纸则在 BC 的低陆平原，只有纸板会送往亚洲。而 BC 的生活垃圾几乎是北美最干净的。http://t.cn/RH1Sd8j  ,无,无,2018-01-06 10:49,微博 weibo.com,1,0,1
FCOgg8bdv,在不需要用 immutable 的地方用 immutable，有时会误导（吓阻）看代码和试图重构的人。#Scala#  ,无,无,2018-01-04 15:56,iPhone客户端,4,0,2
FCNNIrsu6,刚升级了 Fedora 26/27 针对 Intel 芯片漏洞的修复（kernel version 4.14.11）。具体操作见：http://t.cn/RHRUR6M 。国外的云服务厂商都在忙着升级打补丁，国内的云厂商不知道动作怎么样。  ,无,无,2018-01-04 14:45,微博 weibo.com,5,2,1
FCMbzhyuF,没有那个能力就不要乱动时间线。#微博#  ,无,无,2018-01-04 10:39,iPhone客户端,5,1,3
FCtSz4TSR,"Cadboro Bay, Victoria, BC —— 2018 年第一天  原图 ",http://wx1.sinaimg.cn/large/6fc85a2fgy1fn24q1emd3j21kw09z1kx.jpg,无,2018-01-02 12:02,微博 weibo.com,10,0,1
FCszGcsyT,我们总是对新的一年抱有新的希望，当然先要看看我们自己 2018 能做些什么 —— 生活吻我以痛，而我报之以歌〡轻芒 Pick http://t.cn/RHW4n28 - 来自轻芒杂志 http://t.cn/RY9C08G  原图 ,http://wx3.sinaimg.cn/large/6fc85a2fgy1fn1ywlgpq6j20qo0xqjxq.jpg,无,2018-01-02 08:43,iPhone客户端,7,2,0
FC9TRdgOh,18 岁。都快忘了自己那时是什么样了。  原图 ,http://wx1.sinaimg.cn/large/6fc85a2fgy1fmzohg9lt6j21kw16o4qp.jpg,无,2017-12-31 09:11,微博 weibo.com,35,5,8
FC2hxjvYf,Ebay 上买了个 40 刀的东西，到货时发现不是我订的型号。问卖家在网站上贴的型号究竟有没有，结果他表达了歉意后全款退回给我，东西也让我留下。  ,无,无,2017-12-30 13:47,iPhone客户端,14,0,2
FC18RaIwI,加拿大道路的最高限速居然是在温哥华岛的 19 号高速，120km/h  原图 ,http://wx1.sinaimg.cn/large/6fc85a2fgy1fmyltqvj1oj218d0pkqv5.jpg,无,2017-12-30 10:53,微博 weibo.com,2,3,0
FC0lQ1nKn,Mr. Deer  原图 ,http://wx4.sinaimg.cn/large/6fc85a2fgy1fmyicsszchj21kw0v1kjl.jpg,无,2017-12-30 08:52,微博 weibo.com,8,0,0
FBJr18Jz5,在中文世界，以前都说看新浪微博让人抑郁，看新闻联播让人觉得幸福，而在这一年，即使看新闻联播式的新闻也让人郁闷。这些中文世界的郁闷，转化为对中文世界的难过。  ,无,无,2017-12-28 13:48,微博 weibo.com,11,3,0
FBzHetROW,圣诞滑雪大家应该打扮成各种人物，这是 Joker  [组图共2张] 原图 ,"http://ww1.sinaimg.cn/large/6fc85a2fgy1fmv8oqpix5j20u0140goo.jpg,http://ww1.sinaimg.cn/large/6fc85a2fgy1fmv8otf3upj20qo0zkgrk.jpg",无,2017-12-27 13:01,iPhone客户端,14,0,3
FBxrb730r,第一次滑雪  [组图共3张] 原图 ,"http://ww3.sinaimg.cn/large/6fc85a2fgy1fmuyprtuuej20zk0qo7aj.jpg,http://ww1.sinaimg.cn/large/6fc85a2fgy1fmuyptxb7dj20zk0qo43i.jpg,http://ww1.sinaimg.cn/large/6fc85a2fgy1fmuypw025wj20zk0qozp8.jpg",无,2017-12-27 07:16,iPhone客户端,11,0,2
FBpwFFv4j,下山前现看会电视  原图 ,http://wx2.sinaimg.cn/large/6fc85a2fgy1fmtzsji7zlj21kw16ohdt.jpg,无,2017-12-26 11:07,iPhone客户端,9,0,2
FBg0oEw7B,White Christmas under snow-capped moutains. Merry Christmas.  [组图共2张] 原图 ,"http://ww2.sinaimg.cn/large/6fc85a2fgy1fmstoe8tz0j22io1w0kjl.jpg,http://ww1.sinaimg.cn/large/6fc85a2fgy1fmsto1s94rj21w02iokjl.jpg",无,2017-12-25 10:53,iPhone客户端,15,1,1
FBeDiDx6b,刚到雪场就开始下雪 加拿大·Mount Washington Alpine Resort  显示地图 原图 ,http://wx4.sinaimg.cn/large/6fc85a2fgy1fmsnowmnjzj20zk0qo45b.jpg,加拿大·Mount Washington Alpine Resort,2017-12-25 07:23,iPhone客户端,5,0,0
FBcPX5YOG,喝热咖啡的小雪人  原图 ,http://wx3.sinaimg.cn/large/6fc85a2fgy1fmsfruif00j21w02iokjl.jpg,无,2017-12-25 02:49,iPhone客户端,3,1,0
FBcEofyV5,在 Courtenay 休息一会 加拿大·Courtenay  显示地图 原图 ,http://wx4.sinaimg.cn/large/6fc85a2fgy1fmsexty369j22io1w0e82.jpg,加拿大·Courtenay,2017-12-25 02:20,iPhone客户端,2,0,3
FB84vh3Ud,85 年的平安夜，大学宿舍旁的球场上几个外国留学生点上一小圈蜡烛，用吉他边弹边唱圣诞歌，歌声温暖平和，真好听。第一次看人过圣诞节。  ,无,无,2017-12-24 14:41,iPhone客户端,12,2,2
FB79B3kwI,"A Mathematician Who Decodes the Patterns Stamped Out by Life. ""If you think about any kind of system, hierarchical organization is everywhere. Similar units are somehow combined to create a new level. Whether it’s human society, ant society, zebras, primates or multicellular organisms formed of single cells, these combinations happen a lot in nature. I’m trying to understand how nature organizes simple, similar individuals into a new level that might do different things."" http://t.cn/RHZfLP2  这同样会发生在区块链生态。                  原图                             ",http://wx2.sinaimg.cn/large/6fc85a2fgy1fmrqo2bzfoj21jk0xc15v.jpg,无,2017-12-24 12:21,微博 weibo.com,1,2,1
FAXszsWuK,这风刮得好大，好像连星星也要搜刮一空。  ,无,无,2017-12-23 11:40,微博 weibo.com,3,0,0
FAFkhb1z7,看这景色应是温哥华岛西岸，果然，现住盐泉岛 #轻芒阅读#「橘子娱乐 | 她的画跟照片一样真实美！」http://t.cn/RTdPxtV  原图 ,http://wx3.sinaimg.cn/large/6fc85a2fgy1fmobt5pqeqj20hc0hcjtc.jpg,无,2017-12-21 13:30,iPhone客户端,4,0,1
FAtgXccy7,孟岩：人人都在讨论的区块链，会怎样改变我们的生活？〡轻芒孟岩：人人都在讨论的区块链，会怎样改变我们的生活？〡轻芒  ,无,无,2017-12-20 06:49,iPhone客户端,9,33,3
FA2H257YX,有一天 AI 统治世界大部分工作都没了，我就去学自动驾驶。  ,无,无,2017-12-17 11:09,iPhone客户端,8,2,1
FzROHalNl,BC 省的医疗保费从明年起减半，原来我家每月要付 150 加元，现在是 75，约合人民币 400 元。  ,无,无,2017-12-16 07:28,微博 weibo.com,5,1,6
FzKpnpnYe,今晚云不多了，站在院子仰头望向双子座十分钟，看到了两颗流星。  ,无,无,2017-12-15 12:36,iPhone客户端,7,1,0
FzHIhsEkq,最近的几个基于 Akka 的系统搞得如此之好，以至于我似乎无事可做了 —— 当然不是真的（无事可做）  ,无,无,2017-12-15 05:45,iPhone客户端,16,6,6
FzATuDjlB,旧日的本田 Accord  原图 ,http://wx4.sinaimg.cn/large/6fc85a2fgy1fmg6jfjwrsj20u00u0wi7.jpg,无,2017-12-14 12:23,微博 weibo.com,9,0,1
Fzz1Oblsz,数字加密货币面临的一个大难题是持有、使用的安全，尤其持有大额价值时。计算机、手机、互联网总有无法避免的漏洞，是否会受到侵入可以认为取决于价值的大小。持有大笔法定货币的人可以去银行开设只能本人现场操作的大额资金账户，但数字货币则很难不通过电子手段使用和持有。  ,无,无,2017-12-14 07:38,微博 weibo.com,8,11,3
FziZvraeY,小川上动作越来越协调了（空手道） 邓草原的秒拍视频  ,无,无,2017-12-12 14:48,iPhone客户端,6,0,2
FzihT8V0n,临近双子座流星雨，出到院子里抬头就看见一颗。  ,无,无,2017-12-12 13:01,微博 weibo.com,3,0,0
FyVtg59aj,六七十年代，成千上万美国避战反战青年来到温哥华定居，扩大延续了嬉皮士文化至今。如今这里的嬉皮士文化在任何地方都已难得一见，即使是嬉皮士运动的摇篮加州。这里也诞生了 “绿色和平” 等众多非政府组织和各类“少数派” - 嬉皮士运动50年：被嬉皮士改变的世界 http://t.cn/RTZHt4h - 来自轻芒杂志  原图 ,http://wx1.sinaimg.cn/large/6fc85a2fgy1fmb3m30zn1j20j60pn0y4.jpg,无,2017-12-10 02:56,微博 weibo.com,3,0,1
FyNw61JDr,Facebook 上找到一个 “旧日的维多利亚” 群组，大家一起贴很久以前的照片。这张是一把很长的锯，然后就有人找到了当时提供这种锯的公司的广告。（图片来源 Facebook - Old Victoria BC）  [组图共2张] 原图 ,"http://ww1.sinaimg.cn/large/6fc85a2fgy1fma4jzwfqfj20gn0k3ju3.jpg,http://ww1.sinaimg.cn/large/6fc85a2fgy1fma4k2jnfaj20yj0ksad3.jpg",无,2017-12-09 06:41,微博 weibo.com,4,1,2
FyF0fpFTL,大雪日的霜冻  原图 ,http://wx4.sinaimg.cn/large/6fc85a2fgy1fm92yyj6g4j21kw16o4qr.jpg,无,2017-12-08 09:00,微博 weibo.com,5,1,0
FyEwmD1Mh,加拿大 BC 省独立屋冬季取暖的方式主要有两种：电或者天然气。前者整个冬季的平均开销在 300 ~ 400 加元（1600 ~ 2100 人民币），后者差不多。加拿大的电和气应该比中国便宜，平均的独立屋面积可能还小过中国农村的房子，加上房子本身的保温效果都很好，所以，中国北方农村煤改气或电，应该用不起。  ,无,无,2017-12-08 07:47,微博 weibo.com,9,24,2
Fysh38OD4,冬天花园里的蜜蜂还时隐时现。小川上穿了一件蓝色的外衣：妈妈妈妈，蜜蜂喜欢蓝色吗？它看到我会不会以为是蓝色的海洋，就飞走了（就不会蛰他了） 。  ,无,无,2017-12-07 00:36,iPhone客户端,11,0,1
FydStmXEJ,小川上自言自语开始带一点点法语。  ,无,无,2017-12-05 11:57,iPhone客户端,2,0,2
FycJz4xmH,还在这家买过几次东西的 #轻芒阅读#「驱家新闻 | 北美知名电脑零售商NCIX宣布破产倒闭：PC用户心酸」http://t.cn/RYQsEjI  原图 ,http://wx3.sinaimg.cn/large/6fc85a2fgy1fm5m5q9ye7j20go0aygme.jpg,无,2017-12-05 09:02,iPhone客户端,0,1,0
Fy4Qxsxh9,小朋友和妈妈今天出去玩了，临出门时叫我别忘了把锅里的甜酒冲蛋吃掉，我正好在忙什么。晚上才发现咦怎么还在锅里。其实过程很简单：中间去厨房时看到桌上有一个盛过甜酒冲蛋的空碗，以为自己已经吃过了。  ,无,无,2017-12-04 12:58,iPhone客户端,7,0,3
Fy2Ynab1V,朝南  [组图共3张] 原图 ,"http://ww3.sinaimg.cn/large/6fc85a2fgy1fm4f289ihij22io1w0b2a.jpg,http://ww2.sinaimg.cn/large/6fc85a2fgy1fm4f2h5ovaj22hi1t5e81.jpg,http://ww4.sinaimg.cn/large/6fc85a2fgy1fm4f2s24k8j21w02iob2a.jpg",无,2017-12-04 08:11,iPhone客户端,4,0,3
Fy0zXy5Fu,周六去了本地的第一次 meetup，木匠分享了 React。有几年没关注前端了，看到 JavaScript 使出“吃奶的劲”实现各种函数式的 pattern，对前端同学生出了不小的同情。要读写这些弯弯绕的代码需要键翻六路，脑想八方，每小时的工钱确实应该比过去提高不少。  ,无,无,2017-12-04 02:06,iPhone客户端,8,15,6
FxRDVcums,都说美国是梦幻与现实的混合，在美国，梦幻会不知不觉变成现实，现实也会不知不觉地忽然成了一场梦。那么如果是魔幻与现实混合呢，现实就需要“魔幻”成一种“神奇现实”并上升到“伟大现实”，而“魔幻”本身却在众目睽睽下现实地发生和成为常态。  ,无,无,2017-12-03 03:21,iPhone客户端,7,5,0
FxQb87Out,整个 11 月，维多利亚下雨的日子比较多，据说是几十年来（1952年）最多的。看预报，接下来一周晴天开始多了，要多出去散散步。很多人觉得加拿大是个寒冷遥远的北方，其实人口密集区域的纬度相当于法国到德国。欢迎程序员多多移民来此。呆在国内的，我们一起希望北京希望中国会越变越好。  ,无,无,2017-12-02 23:37,iPhone客户端,22,23,11
FxPRMEMMY,看到一些临近年底医保资金短缺的消息，联想一下加拿大的医疗体系。加医疗服务保持较高的水准，成本肯定不低。正因为这样，整个国家需要将提高居民的健康水平放在首位，这涉及到干净的空气、水乃至整个环境、居民的休闲时间精神压力等各个方面。提升这些才能让人少生病，才能维系福利性质的医疗体系。  ,无,无,2017-12-02 22:49,微博 weibo.com,11,5,7
FxPLBo37g,区块链这块，Waves 和 ETC 的 Mantis 都尝试用 Akka 来开发。初看了一下两者的代码，实话实说，比较差，尤其是尚未真正理解 Akka 的看待和解决问题的方式。但在 Scala 的使用上，也都有些还不错的设计。  ,无,无,2017-12-02 22:34,微博 weibo.com,18,5,1
FxLFUFXgi,近来微博上看到的“正能量”文字似乎变少了，大概越来越多的人体会到，把“正能量”都喷出去，自己浑身上下就只剩负能量了。  ,无,无,2017-12-02 12:09,iPhone客户端,13,6,3
FxInEcMjF,从小就不喜欢各种对思想的禁锢，连带也不喜欢会对思想带来的 —— 比如不能写这个、不能看那个、不能这样做、只能那样做 —— 的禁锢。表面看，这些禁锢不影响你去思考其他东西啊，不影响你去做一个社会人啊。其实，它在不知不觉中让你变得谨小慎微（全方位的），偷走你自由和天马行空的想象和创造力。  ,无,无,2017-12-02 03:46,iPhone客户端,41,28,3
FxB41zbSg,似乎全球的许多精英变得不知怎么与劳工阶层相处。他们会喊从精英政治训练中复制而来的口号，但与劳工阶层却有很深的隔膜，根本不了解他们真正的需求（其实不过是有份工作能养家糊口）。所以川普能当选，所以蔡英文也要当心，所以世界在转向。  ,无,无,2017-12-01 09:08,iPhone客户端,10,4,3
FxyVxcGsg,来到维多利亚未几，我就在 meetup 上找了找，没有太合适的。今天收到一条 twitter 信息，说周六有个华人工程师 meetup，就是说，哪天我终于可以在本地讲一讲了。—— 如果在温哥华，可以去的 meetup 固然多多了，但等忙得过来了，开车坐渡轮去一趟也不是很复杂的。  ,无,无,2017-12-01 03:42,微博 weibo.com,3,5,1
Fxxb4lWAV,海阔天空 - 今天我 / 寒夜里看雪飘过 / 怀着冷却了的心窝漂远方/ 风雨里追赶 / 雾里分不清影踪 / 天空海阔你与我 / 可会变（谁没在变） / 多少次 / 迎着冷眼与嘲笑 / 从没有放弃过心中的理想 / 一刹那恍惚 / 若有所失的感觉 / 不知不觉已变淡 / 心里爱（谁明白我） / 原谅我这一生不羁放纵爱自由 / 也会怕有一天会跌倒 / 背弃了理想 / 谁人都可以 / 哪会怕有一天只你共我                                 ,无,无,2017-11-30 23:15,微博 weibo.com,9,2,1
Fxxarm7uG,光辉岁月 - 愿这土地里 / 不分你我高低 / 缤纷色彩显出的美丽 / 是因它没有 / 分开每种色彩 / 年月把拥有变做失去 / 疲倦的双眼带著期望 / 今天只有残留的躯壳 / 迎接光辉岁月/ 风雨中抱紧自由 / 一生经过彷徨的挣扎 / 自信可改变未来 / 问谁又能做到  ,无,无,2017-11-30 23:13,微博 weibo.com,8,1,0
FxpcBki62,"根据加拿大统计局 2016 年统计结果，大维多利亚人口为 36 万多，以中文为母语的 11,815，华人总数（含非中文母语的）为 16,345，大概占总人口的 4.5% 左右。 少数族裔比例一共为 14% 左右（华裔最多，占其中近 1/3）。跟大温哥华比，比例小很多。不过说中文的有一万多，也不寂寞。  原图 ",http://wx1.sinaimg.cn/large/6fc85a2fgy1flzjhy03y9j20pn09ndhv.jpg,无,2017-11-30 02:57,微博 weibo.com,4,4,2
Fx5YEvUvo,小川上对传送带一直很感兴趣。  原图 ,http://wx3.sinaimg.cn/large/6fc85a2fgy1flx6l0fv0ij20so128q8h.jpg,无,2017-11-28 02:00,微博 weibo.com,4,0,3
FwsM1nNIA,我总是记得十几年前刚到加拿大的一件事。在蒙特利尔寒冷的冬天，一个流浪汉不幸冻死在街头，我看到电视里第一个发现的路人泣不成声地讲述，显然她觉得不仅仅是那个冻死的陌生人的不幸。  ,无,无,2017-11-23 22:12,iPhone客户端,40,41,0
Fw0D7CCbZ,没有办法回到老版的微博消息页了吗？感觉好累。。。不爱。。。  ,无,无,2017-11-20 22:33,iPhone客户端,2,2,6
FvYfvluQm,Akka actor 有独立的、整体来看异步的行为能力，因此，对 actor 实例的状态的观测（或者说查询）实现起来就非常简单。Lightbend 给了一个实时的可视化 actors 之间消息流的例子。http://t.cn/RjrRPJg  原图 ,http://wx4.sinaimg.cn/large/6fc85a2fgy1flomsczhxeg20w00k0kjm.gif,无,2017-11-20 16:29,微博 weibo.com,24,74,8
FvOEibdv4,有些年没来商务印书馆了。今天转了一圈，并没有看到近十年来有增加多少值得一读的书，竟然松了一口气。就是说，我还是可以读得过来。  ,无,无,2017-11-19 16:03,iPhone客户端,7,2,1
FvHofclRk,这次住的地方离公司一站地。可能是潜意识，来回公司每次都是走马路右侧的人行道，好像编好了程序。  ,无,无,2017-11-18 21:34,iPhone客户端,1,0,6
FvGu9ewVA,广汽传祺打算把车卖到美国。当然，因为车的英文品牌是 Trumpchi，所以可能会改个名字。  ,无,无,2017-11-18 19:16,iPhone客户端,5,2,1
FvF5Qb9A7,这部 1996 Accord Coupe 的 happy ending 故事。在 Ebay 认为有虚假出价而两次下架后，啥车都买的 CarMax 最后出价 $20000 买下了它，包括影片里的咖啡壶。而演员 Anne Marie Avey 的猫（叫 Papa Puff Pants）因为不卖，所以 CarMax 捐了 $5000 给洛杉矶一家收留流浪猫狗的组织。胡椒视频的秒拍视频  [组图共6张] 原图 ,"http://ww2.sinaimg.cn/large/6fc85a2fgy1flm9yrw21dj20pg0ebjuc.jpg,http://ww4.sinaimg.cn/large/6fc85a2fgy1flm9yyf3ujj20el086jrz.jpg,http://ww2.sinaimg.cn/large/6fc85a2fgy1flm9zzhuohj20gc0ih49m.jpg,http://ww2.sinaimg.cn/large/6fc85a2fgy1flma18d9l5j20qo0qo0uf.jpg,http://ww3.sinaimg.cn/large/6fc85a2fgy1flma26axppj20ib0iuaq6.jpg,http://ww4.sinaimg.cn/large/6fc85a2fgy1flma6wg31gj21hc0u0mys.jpg",无,2017-11-18 15:43,微博 weibo.com,4,2,6
FuYGdlrWJ,我是新关注了一个人，但微博也没必要一下子打乱时间线连续放十条他最近的微博给我吧 —— 想看的话我自己知道怎么进他的主页看 —— 我差点以为他是话痨立马取关了。  ,无,无,2017-11-14 03:45,iPhone客户端,11,3,6
FuYvfrR27,回到旅馆有点困，不到 8 点就睡着了。现在是凌晨 3 点，好像睡够了但也没想去外面散步。  ,无,无,2017-11-14 03:18,iPhone客户端,2,0,1
FuAu9hFTa,有意思。很多当年的小品牌 —— 比如这个，我甚至从来没有买过用过 —— 20多年后还能活着 #轻芒阅读#「中关村在线 | 4个重点让你重新认识七彩虹主板」http://t.cn/RlFr6I1  原图 ,http://wx2.sinaimg.cn/large/6fc85a2fly1fle439ifraj20hs07tjs2.jpg,无,2017-11-11 14:09,iPhone客户端,5,0,0
FuAr9rzkL,本周写完了一批代码。这个纯粹是无聊转发 #轻芒阅读#「三联生活周刊 | 叶片落尽，寂寞丝丝入骨」http://t.cn/RlFuFzG  原图 ,http://wx4.sinaimg.cn/large/6fc85a2fly1fle3w1poitj203c03cq2q.jpg,无,2017-11-11 14:02,iPhone客户端,3,0,2
FukSEmW3l,不觉中进了一个讲宏大叙事的时代，心怀全球地在讲，大家一起讲，从企业家到民间，讲并流转。在这样的年代，小人物们要保护好自己，信自己，得……  ,无,无,2017-11-09 22:25,iPhone客户端,11,5,1
FuiGDC4uV,爬虫从基于 netty 的 async-http-client （或者 Play WS）切到了 akka-http-client ，先跑一整天再给结论。初步看，内存占用和 CPU 占用都更低了。就是说，在今年下半年抓取的内容大幅增加后，整个爬虫后台的主服务仍然是一台 PC Server 就够。  ,无,无,2017-11-09 16:50,微博 weibo.com,22,64,14
FtEZLyvAG,有理想 vs 暂时不想  [组图共2张] 原图 ,"http://ww3.sinaimg.cn/large/6fc85a2fly1fl72c1q7vkj21kw23we81.jpg,http://ww3.sinaimg.cn/large/6fc85a2fly1fl72cwpxoqj21kw23vnpd.jpg",无,2017-11-05 11:48,Weibo.intl,20,4,4
FtnFA75fJ,Victoria 下雪了。比去年还早（图片：Doug Clement Photography）  原图 ,http://wx4.sinaimg.cn/large/6fc85a2fgy1fl4xv376p3j21kw12xk65.jpg,无,2017-11-03 15:41,微博 weibo.com,22,1,3
Ft6eggNvj,飞机上完整看了日本电影 A Beautiful Star。http://t.cn/Rl7CyDh 我一直很喜欢日本电影，但近年来很少看得到。这部改编自 1962 年出版的小说的电影，正是那种我喜欢的风格。  原图 ,http://wx2.sinaimg.cn/large/6fc85a2fly1fl2svg4qapj20hs0pan33.jpg,无,2017-11-01 19:17,Weibo.intl,4,3,1
Ft5IG1euj,Akka Http 是我见过的，最严格按照 Http 规范实现的，类型安全的库，尤其它的 model 部分。但在具体使用时，需要熟悉 stream 化的 HttpResponse 的处理方式。  ,无,无,2017-11-01 17:59,微博 weibo.com,12,6,2
Ft5DMgxRW,把所有基于 netty 的 async http client 代码全部换成了基于 akka-stream 的 akka http client，跑了三个小时了，目前为止正常。  ,无,无,2017-11-01 17:47,微博 weibo.com,10,1,3
FsTqBdaEz,昨天去机场的高速上，我们这条道的速度一直被控制得非常稳定，等大家一个个切换车道超过去才发现，最前头的原来是辆五十年代的老爷车（虽然开车的是位年轻的姑娘）  ,无,无,2017-10-31 10:42,Weibo.intl,4,0,0
FsTlkjlSV,还好我常回国，要不就会奇怪为什么北京街头总有一群人围着自行车拍照。  ,无,无,2017-10-31 10:29,Weibo.intl,15,15,8
FsTbb0l8G,路过一个正装修的店铺，里面拆墙叠木的声音竟然有架子鼓的节奏。  ,无,无,2017-10-31 10:04,Weibo.intl,1,0,0
FsT6FqLo5,以前走在大街上都是目不斜视的，最近不知道怎么，开始看路人的表情。  ,无,无,2017-10-31 09:53,Weibo.intl,5,2,3
FsyKL5UyH,周六，大病初愈。搬了把椅子在院子里晒太阳。  ,无,无,2017-10-29 06:04,Weibo.intl,8,1,5
Fsq3dAg0k,小区里的秋色  [组图共3张] 原图 ,"http://ww3.sinaimg.cn/large/6fc85a2fgy1fkxmmoq9n0j21kw16o1ky.jpg,http://ww2.sinaimg.cn/large/6fc85a2fgy1fkxmmkfawbj21kw16oqv5.jpg,http://ww2.sinaimg.cn/large/6fc85a2fgy1fkxmmot8z3j21kw16o4qq.jpg",无,2017-10-28 07:55,微博 weibo.com,25,5,4
FscQv5qrO,这几年，生病的时候才会真的觉得累，觉得平时是不是太拼，也似乎真的会休息上几天（虽然是很难受）。MD，病个几天，也算是对得起自己。  ,无,无,2017-10-26 22:18,Weibo.intl,10,1,2
Fs8vXiDCB,从 Ebay 的英国卖家买的书，两个月前寄出的，一个半月后还没收到，我们都认同书丢了，卖家退回了我的钱。今天书突然到了，我看信封什么的也不像曾在哪里躲藏过。总之，从英国寄一本书，by Air Mail，到加拿大 BC 省维多利亚用了两个月。（钱我重新付给卖家了）  原图 ,http://wx2.sinaimg.cn/large/6fc85a2fgy1fkvh8vu9czj21kw23vb0x.jpg,无,2017-10-26 11:16,Weibo.intl,4,0,3
FrTRiiA2H,不小心点了一下微博上的广告，感觉好像就要中毒，手忙脚乱地刷新了一下首页，也不管已经看到哪了。  ,无,无,2017-10-24 21:57,微博 weibo.com,7,0,0
FrpRFnhtK,十月是我的感冒季，虽然不是每年，但每两三年，总有一款感冒来袭。以趟床上为主两天了。  ,无,无,2017-10-21 17:36,微博 weibo.com,4,0,5
FrpJIwmun,大维多利亚的 Langford 加入了争取作为 Amazon 北美第二总部所在地的行列。此前 BC 省就已经有温哥华、素里提交了方案。Langford 的优势也许是运作成本低。在大维多利亚，这是个居民比较年轻、市政府也不那么保守甚至偏商的城市。  原图 ,http://wx3.sinaimg.cn/large/6fc85a2fgy1fkpzk77venj21c10oskhr.jpg,无,2017-10-21 17:16,微博 weibo.com,2,0,2
FqMjVdUuI,我的 Honda Accord CB7。还在路上的手波双门越来越少了，也许这部我会一直开下去。  原图 ,http://wx3.sinaimg.cn/large/6fc85a2fgy1fkl5hn3yq6j21kw16onii.jpg,无,2017-10-17 12:56,微博 weibo.com,10,2,4
FqjdXqrGC,分享图片  原图 ,http://wx3.sinaimg.cn/large/6fc85a2fgy1fkhl3gj5xoj21kw16oe81.jpg,无,2017-10-14 10:51,Weibo.intl,23,1,6
FpMi2yoDI,金丝雀都死了，矿工们并无所谓。  ,无,无,2017-10-10 23:01,Weibo.intl,13,5,0
FotCGeSZP,天窗导轨处的一个塑料卡子蹦了，这个小小的配件早就不生产，何况是公司都不存在了的 SAAB。网上搜了一圈也没找到，只好买了块铝片自己做。  [组图共6张] 原图 ,"http://ww2.sinaimg.cn/large/6fc85a2fgy1fk3njiig2gj21kw23v7wh.jpg,http://ww1.sinaimg.cn/large/6fc85a2fgy1fk3njp4xx2j21kw23ve74.jpg,http://ww4.sinaimg.cn/large/6fc85a2fgy1fk3njzbutvj21kw16ox6p.jpg,http://ww1.sinaimg.cn/large/6fc85a2fgy1fk3nk71a9ej21kw16ob29.jpg,http://ww1.sinaimg.cn/large/6fc85a2fgy1fk3nkf3mjrj21kw16o7wh.jpg,http://ww1.sinaimg.cn/large/6fc85a2fgy1fk3nklwttij21kw23v4qp.jpg",无,2017-10-02 09:39,Weibo.intl,25,0,6
FmPSpwCMZ,回到加拿大一年了  原图 ,http://wx4.sinaimg.cn/large/6fc85a2fgy1fjr6dvfzmfj21kw16o7wh.jpg,无,2017-09-21 14:38,微博 weibo.com,27,7,5
FmOVlcFou,看到有人在说给比特币等等设墙的事，没有用。只要有一个节点渗透进来，就能扩散出一大片…  ,无,无,2017-09-21 12:12,Weibo.intl,6,2,3
