微博id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
BfWSxnVao,在Proxifier上看到Dropbox不停在尝试连接chat.facebook.com:433，这是为啥？  ,无,无,2014-07-30 12:38,微博 weibo.com,0,0,1
Bd8YztrH8,Patrick终于忍不了既啰嗦又语焉不详的Jenkins，动手写了一个bot取而代之，成果就是简单明快的SparkQA :-)  原图 ,http://ww1.sinaimg.cn/large/7045e02dgw1ei9e6cu192j216o0kradu.jpg,无,2014-07-12 01:55,微博 weibo.com,0,6,1
BcMb1cmwM,#Scala Days 14#精彩推荐：Without Past and Present http://t.cn/RvDYfu0 以相当犀利的视角阐述了分布式一致性问题，最后引到Akka的gossip协议（没有提到Paxos）  ,无,无,2014-07-09 15:52,微博 weibo.com,1,37,6
BbONPiRi4,Databricks post Spark summit party :-) Mission St  [组图共5张] 原图 ,"http://ww1.sinaimg.cn/large/7045e02djw1ehzbdmn51vj20np0hsaay.jpg,http://ww2.sinaimg.cn/large/7045e02djw1ehzbdrtdt2j20hs0npjsc.jpg,http://ww3.sinaimg.cn/large/7045e02djw1ehzbdwb953j20np0hsab0.jpg,http://ww1.sinaimg.cn/large/7045e02djw1ehzbe0oca2j20np0hst9k.jpg,http://ww4.sinaimg.cn/large/7045e02djw1ehzbe8b2v8j20np0hsab0.jpg",无,2014-07-03 08:43,中国移动-三星NoteⅡ,6,3,7
BbOgitIlR,Learn more about #Databricks# Cloud: watch the keynote and demo at http://t.cn/Rv3Qi4s  ,无,无,2014-07-03 07:20,微博 weibo.com,1,17,0
Bb4rvy2I7,GET EXCITED!!! http://t.cn/zRG51Tp #DataBricks# #Spark#  原图 ,http://ww1.sinaimg.cn/large/7045e02dgw1ehtmq1dh1bj21d21bm795.jpg,无,2014-06-28 10:42,微博 weibo.com,2,0,0
BaVx4vI1C,UCB门口的小湖南餐馆，据说开店十几年，当年还在这里拍过北京人在纽约。老板是香港人，以前在香港做两岸三地的外贸生意，自称中南海都进过…店里背景音乐竟然是肖邦… Berkeley Sq  ,无,无,2014-06-27 12:01,中国移动-三星NoteⅡ,2,1,4
Ba9smuFIu,ScalaDays 2014 slides http://t.cn/RvlmPB5  ,无,无,2014-06-22 09:37,微博 weibo.com,4,29,5
B9IJiE9F7,提Spark相关问题时邮件列表相对微博和私信的好处：1. 篇幅不限，可以详述问题；2. 富文本排版，方便阅读；3. 社区用户遍布全球，人手众多，24小时多方应答；4. 方便检索，造福后人。=>> user (at) spark.apache.org <<=  ,无,无,2014-06-19 13:35,微博 weibo.com,1,1,0
B9EpK4eWx,Took in DataBricks office... Shattuck Ave  原图 ,http://ww4.sinaimg.cn/large/7045e02djw1ehiu3gdtnmj20xc18g0us.jpg,无,2014-06-19 02:36,中国移动-三星NoteⅡ,1,0,0
B9vusksu2,ScalaDays 2014进行中，Spark SQL作者Michael Armbrust将分享Catalyst的设计实现 http://t.cn/Rvp93Nf  ,无,无,2014-06-18 03:53,微博 weibo.com,5,26,1
B97FmBdJe,周末跑到自初二就认识了的好友兼编程启蒙老师徐中 @人生苦短我用派森 家玩，饱餐之后驱车半小时至太平洋边。六月的海风仍然猛烈，被吹了个乱七八糟，遑论比基尼。回程路过一片绿植店，见识了小臂大小的猪笼草和各种奇葩多肉植物。难得一个不宅的周末  美国San Mateo  [组图共6张] 原图 ,"http://ww2.sinaimg.cn/large/7045e02djw1ehet01ytn8j218g0xcgq3.jpg,http://ww1.sinaimg.cn/large/7045e02djw1ehet05pdkmj218g0xcn32.jpg,http://ww4.sinaimg.cn/large/7045e02djw1ehet084ec3j218g0xcn1e.jpg,http://ww4.sinaimg.cn/large/7045e02djw1ehet0yckg0j218g0xcq9g.jpg,http://ww2.sinaimg.cn/large/7045e02djw1ehet184if2j20xc18g7bm.jpg,http://ww2.sinaimg.cn/large/7045e02djw1ehet1fbxo9j20xc18ggto.jpg",无,2014-06-15 15:13,中国移动-三星NoteⅡ,6,4,13
B8TXD10Kc,Yay~ 一个pull request干掉了四个issue，COMBO~   ,无,无,2014-06-14 04:20,微博 weibo.com,6,0,0
B8KH7crjJ,今早到office看到走廊上多了一块幕布，不知道是干啥的。刚刚才发现原来是用来转播世界杯的…  ,无,无,2014-06-13 04:45,微博 weibo.com,3,0,9
B81ss90cc,Airbnb上找的房子$90一天，原本觉得略贵，结果房东夫妇出远门若干天，期间我等于是$90一天租了一整个house。而且房东在家开startup，连工位、显示器之类都备齐了  Acton St  原图 ,http://ww4.sinaimg.cn/large/7045e02djw1eh6ga4xj7lj218g0xctd8.jpg,无,2014-06-08 09:35,中国移动-三星NoteⅡ,17,2,11
B79DTvhUc,TAPL随书OCaml源码的Scala版本 http://t.cn/RvfqMdx  ,无,无,2014-06-02 16:35,微博 weibo.com,2,3,0
B79var8Y0,有不少开发者在关注Spark SQL什么时候提供JDBC server和CLI，这两部分功能目前正在开发中，参见Shark的sparkSql分支 http://t.cn/RvfGMlJ  ,无,无,2014-06-02 16:13,微博 weibo.com,2,7,6
B5v0VaTH0,今天PPT示例里传统大数据分析流水线本来想用Storm作为示例框架之一，结果搜了半天发现Storm竟然连个官方logo都没有，遂作罢，只好摆了一排小黄象。Hadoop社区各项目logo的想象力和审美实在是槽点太多，Hive尤甚。  ,无,无,2014-05-22 19:19,微博 weibo.com,2,0,11
B54qU9qIY,ustraveldocs.com 上显示签证续签流程状态是“护照已从领事馆那边收回，目前正在安排运送”，看到这句可以断言签证已经成功签发了吗？  ,无,无,2014-05-19 23:38,微博 weibo.com,1,0,24
B4TBU8GGd,老爸竟然跑到LinkedIn上endorse我… [挖鼻屎]  ,无,无,2014-05-18 20:05,微博 weibo.com,14,3,9
﻿B40EZrtkd,按照Michael的建议把HiveTableScan关键路径上的FP风格的代码换成while循环加可复用的mutable对象，扫表性能提升40%   ,无,无,2014-05-13 00:12,微博 weibo.com,6,38,4
B3YhntXn7,是我使用习惯太奇葩么？为啥我觉得用来做后端服务开发的话Mac OS X超难用？总结下来应该是因为当今后端服务的服务器操作系统的事实标准已经是各种Linux发行版，Mac OS X跟Linux相近但在基础设施上又有显著区别，日常使用起来总是需要各种模（shan）拟（zhai），发挥不出自身的优势，反而显得别扭。  ,无,无,2014-05-12 18:08,微博 weibo.com,2,30,31
B3wsqDLDl,再赞一次，Ansible真是比Puppet好用太多了！用Ansible部署CDH超方便，连学带用两个下午就搞定了。  ,无,无,2014-05-09 19:18,微博 weibo.com,7,45,12
B2HRDhuGX,用Akka的Multi JVM Testing和Multi Node Testing做Akka分布式应用的测试很方便，就是文档差了点，不太会用，一直吃瘪… http://t.cn/8sBwuAd http://t.cn/8sBwuAB  ,无,无,2014-05-04 10:30,微博 weibo.com,0,1,4
B2AOeeBwO,看到前面那条QBASIC的微博十分怀旧，于是用DOSBox把十几年前跟 @人生苦短我用派森 一起用QB写的带AI的黑白棋程序翻出来把玩了一番，话说当年我用QB做UI还挺有一手的  程序在此 http://t.cn/8s198Ip  [组图共7张] 原图 ,"http://ww1.sinaimg.cn/large/7045e02dgw1eg165m2bijj20ky0ew0uz.jpg,http://ww1.sinaimg.cn/large/7045e02dgw1eg165prsjyj20ky0ew0v7.jpg,http://ww4.sinaimg.cn/large/7045e02dgw1eg165vtlcoj20ky0ewq4p.jpg,http://ww4.sinaimg.cn/large/7045e02dgw1eg1662kkxyj20ky0ewjs6.jpg,http://ww2.sinaimg.cn/large/7045e02dgw1eg16669xq7j20ky0h4q45.jpg,http://ww3.sinaimg.cn/large/7045e02dgw1eg1669exlbj20ky0h475n.jpg,http://ww1.sinaimg.cn/large/7045e02dgw1eg166crzsnj20ky0h4abs.jpg",无,2014-05-03 16:33,微博 weibo.com,6,12,7
B1Qrn8FJS,下午开会被科普了一下形式化系统、model checking、symbolic execution，前半段觉得是科幻，后半段就是玄幻了。整个会上满脑子就一句话：哥读书少，你们别蒙我…  ,无,无,2014-04-28 18:30,微博 weibo.com,1,2,4
B1lLGwLC3,详细探究Spark的shuffle实现 http://t.cn/8kFdyZA 听 @saisai_shao 讲述Spark shuffle的前世今生  ,无,无,2014-04-25 12:25,微博 weibo.com,2,48,13
B0Pnvu9nc,住在六楼竟然闹鼠患了…  ,无,无,2014-04-22 01:58,微博 weibo.com,1,1,6
B0bOc50MX,SBT 0.13.2正式发布，Spark master的SBT也已经升级。此前因为Ivy的bug导致的orbit依赖解析问题已经解决了。  ,无,无,2014-04-17 21:13,微博 weibo.com,0,5,5
AFCVW80k6,DTCC '14的slides：Spark Runtime Internals。PDF： dtcc14-spark-runtime-internals.pdf PPT： dtcc14-spark-runtime-internals.ppt 修订了字体，增补了少量大会上来不及讲的内容及参考文献。  ,无,无,2014-04-14 10:55,微博 weibo.com,6,11,8
AFtZen8Mn,我在 @知乎 回答了【下载prebuilt版的Spark后，必须运行sbt/sbt assembly 后才能使用吗？】：Prebuilt版是不需要编译的（否则就不叫prebuilt了）。 从源码编译的过程 @Markus Hao 的答案已经写得比较清楚了。再写几点注意事项： 依赖解析和依赖… 连城: 下载prebuilt版的Spark后，必须运行sbt/sbt assembly 后才能使用吗？ - 知乎  ,无,无,2014-04-13 12:08,知乎网,1,6,0
AFeJtvxMV,老婆最近表示要科学减肥，每天统计摄入食物的卡路里，吃多少扣多少，让我有种喂QQ宠物扣Q币的错觉…  ,无,无,2014-04-11 21:18,微博 weibo.com,4,3,7
AFdxuk3hg,看到有同学反馈最近编译Spark总是卡在依赖解析和下载上，尤其是跟orbit相关的依赖，可能是因为Ivy的bug导致的，可以考虑升级SBT至0.13.2 RC1 http://mail-archives.apache.org/mod_mbox/incubator-spark-dev/201403.mbox/%3CCAA_qdLo=43=k3z20WDQd919zYx+xQ08JmAiCvyjhJLh_wHyDBg@mail.gmail.com%3E  ,无,无,2014-04-11 18:16,微博 weibo.com,2,3,2
AF3Xxdx1O,原来不一定要用大会提供的PPT模板啊做slides呀！只能在Linux上用WPS做PPT，换到Win7上放映字体全乱了   ,无,无,2014-04-10 17:53,微博 weibo.com,0,2,14
AETM35VkY,没想到阔别服务端网络编程这么久之后再次被字节序耍，忘了JVM是大端序，ByteBuffer.duplicate之后没有设置native order   ,无,无,2014-04-09 15:57,微博 weibo.com,0,3,1
AEtk0apj2,Hive的官方Wiki给人一种荒废多时的感觉，各种错误层出不穷…  ,无,无,2014-04-06 20:36,微博 weibo.com,1,0,9
AEgc3qS4w,做完了Spark SQL的内存列式存储及压缩支持，近3000行代码大量精力花在诸如避免boxing/unboxing开销这样的性能考量上。Scala的FP虽简洁，无奈性能动不动就比while循环慢上一两个数量级，Numeric等泛型类的特化也做得不好。结果就是底层性能攸关的代码必须避免FP风格。好在上层API仍然能维持简洁。  ,无,无,2014-04-05 11:11,微博 weibo.com,6,14,5
AE5WX39fH,WFH注意力集中大法 http://t.cn/8sJTItQ 人性如斯啊，weibo.com之类加hosts里指向127.0.0.1的事儿我也干过，但没想到这哥们儿居然连command+tab都给禁了…真是绝杀呀…另外试用了下Amethyst，确实好用～  ,无,无,2014-04-04 09:06,微博 weibo.com,1,2,0
ADwcgcBzl,类型稍微玩复杂一点，IDEA自带的Scala前端就开始犯傻，打算试试 @邓草原 老师的nbscala  ,无,无,2014-03-31 14:05,微博 weibo.com,1,10,3
ADuf24837,每天早上看前一天晚上临睡前快睁不开眼的时候写的那几行代码，都觉得像是喝醉了在说胡话   ,无,无,2014-03-31 09:07,微博 weibo.com,8,1,1
ADeHKpx9P,被家里和公司的咖啡机惯坏之后偶尔喝雀巢总觉的一股子酸了的中药味儿   ,无,无,2014-03-29 17:33,微博 weibo.com,0,2,3
ADemXbc4Z,我在 @知乎 回答了【Spark SQL和Shark在架构上有哪些区别？将来会合并吗？】：Shark为了实现Hive兼容，在HQL方面重用了Hive中HQL的解析、逻辑执行计划翻译、执行计划优化等逻辑，可以近似认为仅将物理执行计划从MR作业替换成了Spark作业（辅… 连城: Spark SQL 和 Shark 在架构上有哪些区别？将来会合并吗？ - 知乎  ,无,无,2014-03-29 16:42,知乎网,2,17,3
ACUOzAZR2,Spark SQL: Manipulating Structured Data Using Spark http://t.cn/8scnG1z  ,无,无,2014-03-27 14:55,微博 weibo.com,0,9,1
ACTZRi0SK,Functional Programming is Terrible http://t.cn/8sc91nJ 说实话以前没意识到Scala的FP支持还有这么多缺陷。类型推导上的毛病貌似部分是因为照顾OOP导致的？（要翻墙）  ,无,无,2014-03-27 12:50,微博 weibo.com,0,2,0
ACAK99Lav,好久没有遇到像LaTeX一样难用的工具了，SBT算一个……  ,无,无,2014-03-25 11:49,微博 weibo.com,2,16,17
ACkL1h0qm,分享 晏水 的精选集《虾米音乐风格大赏：弗拉门戈 Flamen...》：虾米推荐的这张Flamenco专辑实在是太赞了，这几天一直拿来当工作音乐。 精选集地址：虾米音乐风格大赏：弗拉门戈 Flamenco（分享自 @虾米音乐）  原图 ,http://ww4.sinaimg.cn/large/7045e02djw1eepw8zfa9aj20m80m8dme.jpg,无,2014-03-23 19:08,虾米音乐,0,0,0
AChQceEJY,继Apache Maven库HTTPS证书错误之后，又是JBoss的Maven库宕掉，真是……  ,无,无,2014-03-23 11:42,微博 weibo.com,0,0,0
AC8i0s7sY,Apache官方的Maven repo貌似HTTPS证书出问题了？  ,无,无,2014-03-22 11:23,微博 weibo.com,0,0,7
ABU1Kl4wL,VPN终于又可以顺利翻墙了，这几天差点没憋得背过气去  ,无,无,2014-03-20 23:05,微博 weibo.com,2,0,3
ABRZ4t2Cf,Spark SQL Programming Guide http://t.cn/8sb4qQ4 即将加入Spark主项目的新alpha组件  ,无,无,2014-03-20 17:53,微博 weibo.com,2,61,16
ABQS94lmW,用过Scala之后又开始反过来想念C++的一些好处，比如模板特化和偏特化。C++可以针对不同类型参数在相同接口下写出完全不同的特化逻辑，最大限度地发挥性能优势（最经典的例子之一就是STL的std::copy）。Scala顶多可以用specialized标记为同一套逻辑生成有限的特化代码。  ,无,无,2014-03-20 15:03,微博 weibo.com,1,4,6
ABFmTcNHS,我在 @知乎 回答了【内存有限的情况下（如8GB）Spark如何处理T级别的数据？】：首先需要解开的一个误区是，对于Spark这类内存计算系统，并不是说要处理多大规模的数据就需要多大规模的内存。Spark相对Hadoop MR有大幅性能提升的一个前提就是虽然大量大数… 连城: 内存有限的情况下 Spark 如何处理 T 级别的数据？ - 知乎  ,无,无,2014-03-19 09:46,知乎网,4,63,11
ABAQD6Tsr,Lamport个人主页中My Writings这页上不光内容翔实，还有诸多趣闻 http://t.cn/zYn5GFg 例如第122条关于Paxos的大段八卦，还有第41条吐槽波音80年代末90年代初都没意识到拜占庭容错。  ,无,无,2014-03-18 22:15,微博 weibo.com,1,5,0
ABAKYkkZP,Leslie Lamport抱得图灵奖 http://t.cn/8sU0QgX 实至名归啊！终于等到了！  ,无,无,2014-03-18 22:01,微博 weibo.com,0,8,2
AzW1yc5B4,Spark cache淘汰的LRU是利用LinkedHashMap实现的，构造函数参数accessOrder置true即可跟踪访问次序，昨天看代码不仔细… @CrazyJvm @CodingCat  ,无,无,2014-03-08 00:29,微博 weibo.com,2,1,8
AzQSbgaDL,Latency numbers every programmer should know http://t.cn/zjltpXM Berkeley出品，按年份交互式展示各种操作的延迟对比  ,无,无,2014-03-07 11:22,微博 weibo.com,0,19,0
﻿AzMneqsGp,Spark用的JIRA升级了，issue description终于能修改了，泪流满面  ,无,无,2014-03-06 23:55,微博 weibo.com,1,2,3
AzxKx7hBw,Spark开发文档更新了，有兴趣贡献代码的小伙伴请一定参考一下 http://t.cn/8FDAr1P  ,无,无,2014-03-05 10:41,微博 weibo.com,0,14,2
AzeumDs76,从官方站下载了一份31天试用版的Proxifier，非常好用，其中最好用的feature莫过于一个多礼拜一来每天都提示我试用期还剩31天，从未减少过…  ,无,无,2014-03-03 09:39,微博 weibo.com,4,0,2
AyMk6DFRI,最近不光空气污染严重，DNS污染也同样严重啊。  ,无,无,2014-02-28 09:57,微博 weibo.com,1,0,6
AyxLcyjt5,云诺早期版本非常简洁好用，而3.0以后的版本UI、操作变得复杂不直观不说，基本的同步功能和稳定性也越来越令人捉急。Linux客户端文件同步失败、UI无响应、Android客户端闪退，都是家常便饭。正在考虑弃用，又嫌数据迁移麻烦。这下直接发官方公告说不再支持免费用户，正好一拍两散。  ,无,无,2014-02-26 20:53,微博 weibo.com,0,6,6
Aypli7mRQ,今天是正式开始远程参与Databricks工作的第一天，同时也是Spark正式转为Apache顶级项目的日子，值得纪念   ,无,无,2014-02-25 23:27,Android客户端,30,15,12
AxilIFbpT,不少朋友发微博或私信来问 #Spark# 相关的问题，建议先发到 user@spark.incubator.apache.org 邮件列表上，必要的话再在微博或私信中转邮件链接。订阅方式参见这里 http://t.cn/8FTPiDn Spark user邮件列表上的回复相当及时和全面。而且邮件列表便于检索，可以帮助到其他人。  ,无,无,2014-02-18 15:48,微博 weibo.com,0,0,0
AwDR7qtew,拿下Databricks offer [呵呵] 特别感谢业余HR @hashjoin 近期的帮助！  ,无,无,2014-02-14 08:43,微博 weibo.com,28,26,58
AwDHtDqWD,OCaml: what you gain http://t.cn/8FOPy81 有空应该试试OCaml了，看看同是FP+OOP，跟Scala比起来怎么样。OCaml可以说是FP里揉入OO，Scala则是OO里揉入FP（虽然总体来说很不喜欢OO）。  ,无,无,2014-02-14 08:19,微博 weibo.com,1,6,2
AwotLzcTz,Unit tests跑一遍太久的恶果就是跑起测试就走神，一走就回不来了… 我在:Glick Rd  ,无,无,2014-02-12 17:34,Android客户端,1,0,8
Aw61R3oCc,昨天提到的The Road to Akka Cluster and Beyond的slides，转到墙内了 http://t.cn/8FCZhIl cc @chico2011  ,无,无,2014-02-10 18:36,微博 weibo.com,1,8,2
AvTTfkf8r,Akka Cluster的slides，提纲挈领地介绍了分布式系统中的各种重要结论和技术 http://t.cn/8FK9JoH  ,无,无,2014-02-09 11:42,微博 weibo.com,4,47,6
AvD4QaDKI,对自己的英语口语没想法了…在星巴克要杯香草拿铁，取走之后回宾馆喝了一口发现是姜糖口味的，喝了一口整个人都不好了   ,无,无,2014-02-07 16:54,微博 weibo.com,3,0,5
Av1I38rZL,Spark 0.9发布 http://t.cn/8FXPHtM 主要亮点：Scala升级至2.10、整合GraphX、Spark Streaming脱离alpha阶段、更好的HA支持  ,无,无,2014-02-03 17:46,微博 weibo.com,0,38,3
Ausomfh0y,刚提了个pull request迎新年   ,无,无,2014-01-30 23:51,微博 weibo.com,2,0,4
AtWh0jdL8,行百里者半九十，古人诚不我欺也。这几天多次以为“啊，搞定了，剩下的都是小细节”，然后就妥妥地掉坑里了…还好终于爬出来了。  ,无,无,2014-01-27 14:05,微博 weibo.com,3,1,1
AtyTjA2NH,这么多年了，终于会用git rebase和git cherry-pick了…确实很好用。之前一直都没怎么遇到不得不用的场景，于是一直懒得去学。  ,无,无,2014-01-25 02:34,微博 weibo.com,3,5,8
Atgeg6O4n,一切以和自然语言长得像为设计目标的程序语言设计都是耍流氓  ,无,无,2014-01-23 03:03,微博 weibo.com,5,34,8
AtdxipC3y,不知道Manning的这本BigData有没有出版社计划跟进出中文版？有朋友想译 http://t.cn/SaPelZ @李松峰 @图书出版人杨海玲  ,无,无,2014-01-22 20:12,微博 weibo.com,1,1,6
ArmipCyHv,Ansible真是集群操作神器，部署起来比Puppet/Chef方便太多了，也不用学奇葩的自定义语法 http://t.cn/8FZAcJs 有空把之前用Puppet写的自个儿用的Ubuntu一键装机脚本迁移到Ansible上去。  ,无,无,2014-01-10 14:49,微博 weibo.com,3,20,12
AqWD6pXiq,这个点子真不错，很有想象力啊 http://t.cn/8FPRcFQ  原图 ,http://ww2.sinaimg.cn/large/541935adgw1ecb8xjriw9j20q60ivwgu.jpg,无,2014-01-07 21:29,微相册,1,0,0
AqjdelsRV,Spark一方面做了很多工作让写分布式程序跟单机程序一样简洁，另一方面也使得对Spark运行时模型不熟悉的用户分不清哪些代码是在worker上执行，哪些在driver上执行，哪些是transformation，哪些是action，进而写出错误或低效的代码。最近收到一些Spark用户的问题，这个现象似乎比较普遍。  ,无,无,2014-01-03 17:08,微博 weibo.com,3,7,2
ApK5g5NWJ,以后有钱了一定要雇个秘书写注释！  ,无,无,2013-12-30 23:42,微博 weibo.com,7,5,7
ApHhaDReR,Spark的code review还是很严格的，和 @灵魂机器 一起给mllib写了个朴素贝叶斯，短短221行代码，pull request的讨论里盖了高高一幢楼，不过代码性能、可读性确实提高了。  ,无,无,2013-12-30 16:33,微博 weibo.com,4,13,8
AphByx7gj,13吋rMBP的AppleCare错买成15吋的了，已开包装，还能退么？… 我在这里:http://t.cn/z8AUp8d  显示地图 ,无,http://t.cn/z8AUp8d,2013-12-27 23:12,Android客户端,2,2,8
AoPOqvP0M,在完全不懂应用层机器学习算法的情况下帮忙黑箱优化Spark应用，有种被当作gcc -O4的赶脚…  ,无,无,2013-12-25 00:27,微博 weibo.com,0,0,2
AoDTXvCun,递归函数往往是FP算法最优美简洁的表达方式，而Scala受制于JVM（应该没错吧？），递归层次不能过深，导致简洁的递归实现无法处理较大的输入。Spark的流水线优化逻辑现在就碰到这个问题，MLlib ALS 50轮迭代就会栈溢出。Scala能新增一个annotation，自动把指定递归函数的调用栈放到堆上就好了。  ,无,无,2013-12-23 18:08,微博 weibo.com,2,49,18
AotGlCGji,grepcode.com用来临时查源码真是不错，基本上是一个只读的在线Eclipse UI，不过只索引了几个大的Java项目。  ,无,无,2013-12-22 16:07,微博 weibo.com,0,11,1
AnVhi5IBJ,给Spark debugger的可视化功能加上了流水线优化支持，现在可以展示stage了 [呵呵] 下图是MLlib ALS两次迭代的RDD DAG可视化结果。大方框表示stage，红色箭头表示shuffle dependency。  原图 ,http://ww1.sinaimg.cn/large/7045e02djw1ebobqhpq4lj20zs4g5h8w.jpg,无,2013-12-19 00:31,微博 weibo.com,3,18,6
﻿AnyhmoWMI,第一回翻Git历史考古是看Git自己的代码，后来意识到这是个考察系统最初原始设计动机的好办法。复杂系统都是从简单系统演变而来的，虽然代码变多了，但其中最根本的动机和设计理念往往变动不大。从代码库最早的若干个commit更容易看出这些背后的逻辑。  ,无,无,2013-12-16 13:58,微博 weibo.com,2,2,1
Any5woF38,@尹绪森 @灵魂机器 @sproblvem 咱们吐槽过的滥用broadcast导致性能极其低下的SparkALS是Matei亲手写成的……在Spark第一个commit里就有了 http://t.cn/8kSbMRl  ,无,无,2013-12-16 13:29,微博 weibo.com,0,2,4
AnxkWfKLz,翻#Spark#的Git历史考古，发现第一版的Spark压根儿没有RDD，lineage的雏形倒是具备了。直到三个月后，Matei才在第12个提交里加入了RDD。上回听 @hashjoin 说当年Matei他们造出Mesos这个支持多计算平台的屠龙刀之后发现只有MPI和Hadoop两种计算平台，无龙可屠，无奈之下只好养一条龙备屠，这就是Spark。  ,无,无,2013-12-16 11:35,微博 weibo.com,2,18,7
An9dl5GlY,（续）这样基本可以保证不会找漏，您之前的Erlang项目因为Erlang的动态类型，就享受不到这个待遇了（上一条笔误，消息是静态强类型，所以IDE才能自动定位引用位置）。  ,无,无,2013-12-13 22:10,微博 weibo.com,0,0,0
AmG2cnTMm,刚发现百度出了个国际版的PC浏览器也叫Spark，貌似是基于Chrome改造的？  ,无,无,2013-12-10 19:53,微博 weibo.com,0,1,4
AmtfqeOsv,为什么使用国内的Ubuntu镜像时，apt-get update总会报错说checksum mismatch，但套上ssh隧道翻个墙同样的镜像就又OK了？网易、搜狐、清华等几个镜像都是这样  ,无,无,2013-12-09 11:20,微博 weibo.com,2,5,3
AmlEordZs,照这么下去，200年后的中国人应该都鼻毛茂盛吧 [挖鼻屎]  ,无,无,2013-12-08 15:59,微博 weibo.com,1,0,3
AlUVDdlhP,Armstrong大爷正在Twitter上直播CodeMesh，给出了David Turner（Haskell前身Miranda的发明人）的一篇paper http://t.cn/8kc9pWe Some History of Functional Programming Languages  ,无,无,2013-12-05 19:57,微博 weibo.com,1,7,1
AlUUwn9qr,"Armstrong大爷又在Twitter上卖萌了，这次是黑node.js http://t.cn/8kc96sq @nokusu On no - not #nodejs, how about cobol?  ",无,无,2013-12-05 19:55,微博 weibo.com,0,0,0
AlCJq2r5A,提交了Spark Replay Debugger的PR http://t.cn/8k5WZTl 相关JIRA issue在此 http://t.cn/8k5WZTO Overview文档在此 http://t.cn/8k5WZTj 对Spark debugger有需求的小伙伴请猛烈开炮 @hashjoin @Andrew-Xia @明风Andy @CrazyJvm  ,无,无,2013-12-03 21:38,微博 weibo.com,4,7,4
AlCnTjpTm,老爸收到猎头电话，说是招360 Windows桌面开发主管……网撒的真宽   ,无,无,2013-12-03 20:45,微博 weibo.com,1,3,7
Altu2xQSZ,求国内、国际人民币美元交易/转账常识普及帖 >_<  ,无,无,2013-12-02 22:05,微博 weibo.com,0,2,9
AlhBwpwzZ,一个pull request挖下两个坑，然后再一个pull request把这两个坑给填了……   ,无,无,2013-12-01 15:51,微博 weibo.com,0,0,5
AlhBwpwzZ,一个pull request挖下两个坑，然后再一个pull request把这两个坑给填了……   ,无,无,2013-12-01 15:51,微博 weibo.com,0,0,5
AkwpIvnaF,预告：Spark replay debugger，支持task重放、简单调试及RDD DAG可视化 [呵呵] Idea来自一年多前停止开发的Arthur分支。将Arthur重新利用Spark当前的SparkListenerBus机制重写后代码精简了很多。正在做用于preview的pull request前的最后打磨工作。  原图 ,http://ww1.sinaimg.cn/large/7045e02dgw1eaygokpapfj20js077aan.jpg,无,2013-11-26 15:43,微博 weibo.com,1,8,3
Ak6TilyBu,Distributed Systems Archaeology http://t.cn/8kwl7Vh 还没有读，不过看上去会比较有趣 @sproblvem @尹绪森  ,无,无,2013-11-23 22:44,微博 weibo.com,1,3,0
AjXnsevZF,看来对于大部分人来说，Coursera的reactive programming课程中的各种新概念还是灌得太猛了点，以至于课程决定将作业提交时限从一周延长到两周，有效提交次数也从五次放宽为次数不限。  ,无,无,2013-11-22 22:31,微博 weibo.com,1,4,6
AjNxgFIi1,"目前为止见过的最无厘头的函数名就是ScalaTest中的doRunRunRunDaDoRunRun，看着节奏感这么强的名字，搜了一把果然是首歌 http://t.cn/8kzY7J9 Music Video - ""Da Do Run Run"" - The Crystals - 1963  ",无,无,2013-11-21 21:28,微博 weibo.com,2,7,0
AjNetzzch,又碰到一个test suite中每个case单独跑没问题，一起跑就有几个test case偶尔会挂的heisenbug了   ,无,无,2013-11-21 20:41,微博 weibo.com,0,1,4
AjMgy4feN,下午有幸与 @李浩源HY 交流，直击Tachyon技术内幕，很过瘾  传统上应用向文件系统写数据是直接写字节流，而在Tachyon上应用可以向文件系统注册一个计算过程，用于描述如何计算出指定数据块。当Tachyon发现数据丢失时主动调用应用重新计算出数据，从而大大简化上层应用的容错逻辑。  ,无,无,2013-11-21 18:14,微博 weibo.com,0,9,4
AjDS7uBum,Ubuntu下Java程序偶发性键盘输入失灵的直接肇因终于找到了：是IBus的一个bug引起的，重起IBus即可解决  ,无,无,2013-11-20 20:52,微博 weibo.com,0,0,5
Aj8hixnHq,Akka 2.2中不再能够用Duration.Inf构造Timeout对象，Timeout.never也被移除，这样的话用actor ? Message时就不能无限等待actor的回复了。是有别的方式可以实现这个功能而我没发现，还是说Akka 2.2认为无限等待这种行为本身应该被禁止？不过Duration.Inf仍然在，因此Await.result仍然可以无限等待。  ,无,无,2013-11-17 12:26,微博 weibo.com,0,2,1
AiYkzix4d,#百度云# 这下载速度曲线，是限速没做好么？以秒为间隔，下载速度在0和几百K之间波动，平均下来大概只有100来K  原图 ,http://ww4.sinaimg.cn/large/7045e02djw1eamold5jmoj20dw04c74o.jpg,无,2013-11-16 11:06,微博 weibo.com,0,2,5
AiONAi4F8,今年发在SOSP13上的Sparrow那篇paper的作者Kay Ousterhout是位金发美女啊 http://t.cn/8DFLQZn  ,无,无,2013-11-15 10:50,微博 weibo.com,0,2,2
